Name,Link
"Yacobson, Alexandra Nikolaevna",https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=3437
"Yakushin, Anatolii Borisovich",https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=3438
"Yamaguchi, Gen",https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=3439
"Yamamoto, Thomas",https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=34200
"Yamamoto, Tom",https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=34200
"Yancey, Baye M.",https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=11577
"Yáñez de la Almedina, Fernando",https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=6627
"Yanosko, George",https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=8227
"Yates, Mrs.",https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=3440
"Yau, John",https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=25001
"Yavno, Max",https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=17842
"Ycaza, Ana Rosa de",https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=35389
"Yeates, George",https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=6333
"Yeates, Nicholas",https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=6334
"Yeckley, N.H.",https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=8228
"Yencesse, Ovide",https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=28153
"Yeo, Richard",https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=23141
"Yersin, Albert Edgar",https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=3441
"Yewell, J. Floyd",https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=34153
"Yochim, Maurice",https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=34278
"Yoder, Andy",https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=27224
"York, Emily",https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=30908
"Yoshida, Chizuko",https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=3442
"Yoshida, Hodaka",https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=3443
"Yoshida, Masaji",https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=3444
"Yoshida, Toshi",https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=3445
"Yoshinaga, Yutaka",https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=26325
"Young, Alfred",https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=5845
"Young, Beckford",https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=34201
"Young, Edward",https://web.archive.org/web/20121010201456/http://www.nga.gov/cgi-bin/tsearch?artistid=21179
"Young, Gene",https://web.archive.org/web/20121010201456/http://www.nga.gov/cgi-bin/tsearch?artistid=21598
"Young, La Monte",https://web.archive.org/web/20121010201456/http://www.nga.gov/cgi-bin/tsearch?artistid=10412
"Young, Lyman",https://web.archive.org/web/20121010201456/http://www.nga.gov/cgi-bin/tsearch?artistid=8229
"Young, Mahonri MacKintosh",https://web.archive.org/web/20121010201456/http://www.nga.gov/cgi-bin/tsearch?artistid=5764
"Young, Robert A.",https://web.archive.org/web/20121010201456/http://www.nga.gov/cgi-bin/tsearch?artistid=8230
"Youngerman, Jack",https://web.archive.org/web/20121010201456/http://www.nga.gov/cgi-bin/tsearch?artistid=2811
"Youngs, Jessie M.",https://web.archive.org/web/20121010201456/http://www.nga.gov/cgi-bin/tsearch?artistid=8231
"Ysenbrant, Adriaen",https://web.archive.org/web/20121010201456/http://www.nga.gov/cgi-bin/tsearch?artistid=1415
"Yuki, Rei",https://web.archive.org/web/20121010201456/http://www.nga.gov/cgi-bin/tsearch?artistid=3448
"Yunkers, Adja",https://web.archive.org/web/20121010201456/http://www.nga.gov/cgi-bin/tsearch?artistid=3449
Yva,https://web.archive.org/web/20121010201456/http://www.nga.gov/cgi-bin/tsearch?artistid=24740
